"date","fips","mmwr_week","recip_county","recip_state","series_complete_pop_pct","series_complete_yes","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","completeness_pct","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_12plus","administered_dose1_recip_12pluspop_pct","administered_dose1_recip_18plus","administered_dose1_recip_18pluspop_pct","administered_dose1_recip_65plus","administered_dose1_recip_65pluspop_pct","svi_ctgy","series_complete_pop_pct_svi","series_complete_12pluspop_pct_svi","series_complete_18pluspop_pct_svi","series_complete_65pluspop_pct_svi"
"2021-08-23T00:00:00.000","56031","34","Platte County","WY","31.6","2650","2650","36.4","2601","38.9","1414","65","96.4","2926","34.9","2926","40.2","2848","42.6","1499","68.9","Low","Low-Mod VC/Low SVI","Low-Mod VC/Low SVI","Low-Mod VC/Low SVI","Mod-High VC/Low SVI"
"2021-08-23T00:00:00.000","10001","34","Kent County","DE","42.4","76727","76721","50.0","72429","51.9","23566","74.5","96.2","88135","48.8","88122","57.4","82606","59.2","26121","82.6","Mod-High","Mod-High VC/Mod-High SVI","High VC/Mod-High SVI","High VC/Mod-High SVI","High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","42065","34","Jefferson County","PA","41.7","18109","18106","48.4","17696","51.7","7683","82.2","93.8","20563","47.4","20561","55.0","19979","58.4","8471","90.7","Low-Mod","Mod-High VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","26077","34","Kalamazoo County","MI","50.7","134510","134500","59.2","125954","60.5","34821","85.1","93.8","135745","51.2","135729","59.7","130277","62.6","36499","89.2","Low-Mod","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","29175","34","Randolph County","MO","28","6931","6931","32.6","6754","34.8","2579","60.7","91","8899","36","8898","41.9","8605","44.3","3042","71.6","Mod-High","Low VC/Mod-High SVI","Low-Mod VC/Mod-High SVI","Low-Mod VC/Mod-High SVI","Mod-High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","46063","34","Harding County","SD","13.7","178","178","16.4","178","18","97","41.1","83.8","191","14.7",,"0.0",,"0",,"0","Low","Low VC/Low SVI","Low VC/Low SVI","Low VC/Low SVI","Low-Mod VC/Low SVI"
"2021-08-23T00:00:00.000","37149","34","Polk County","NC","37.2","7714","7704","41.1","7455","42.7","3717","55.9","96.3","8989","43.4","8970","47.8","8667","49.6","4307","64.8","Low-Mod","Low-Mod VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","01057","34","Fayette County","AL","25.2","4106","4105","29.2","4049","31.5","1916","54","92","5281","32.4","5279","37.6","5116","39.8","2223","62.7","Mod-High","Low VC/Mod-High SVI","Low VC/Mod-High SVI","Low-Mod VC/Mod-High SVI","Mod-High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","19113","34","Linn County","IA","55.5","125921","125921","65.4","117943","67.6","32572","88.4","97.5","135930","60","135927","70.6","126261","72.4","33679","91.4","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","55133","34","Waukesha County","WI","58.1","234759","234755","67.0","220942","69.4","69419","89.5","97","253274","62.7","253260","72.3","236423","74.3","71716","92.5","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","17075","34","Iroquois County","IL","38.2","10359","10353","44.2","9963","46.9","4229","70.9","97.7","12355","45.6","12340","52.7","11790","55.5","4873","81.7","Low-Mod","Low-Mod VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","48415","34","Scurry County","TX","0","0","0","0.0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","Mod-High",,,,
"2021-08-23T00:00:00.000","17037","34","DeKalb County","IL","41.4","43430","43326","48.1","40691","49.4","10684","78.8","97.7","58385","55.7","58203","64.6","54298","65.9","13274","97.9","Low-Mod","Mod-High VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","31043","34","Dakota County","NE","47.8","9577","9575","59.9","9194","64.8","2375","85.2","88.9","10254","51.2",,"0.0",,"0",,"0","High","Mod-High VC/High SVI","High VC/High SVI","High VC/High SVI","High VC/High SVI"
"2021-08-23T00:00:00.000","35047","34","San Miguel County","NM","39.7","10840","10840","44.7","10016","44.5","3138","50.9","83.3",,"0",,"0.0",,"0",,"0","High","Low-Mod VC/High SVI","Mod-High VC/High SVI","Mod-High VC/High SVI","Mod-High VC/High SVI"
"2021-08-23T00:00:00.000","37183","34","Wake County","NC","56.6","629610","628227","66.7","579169","68.2","119821","89.5","96.3","750549","67.5","748431","79.5","684320","80.6","132049","98.6","Low-Mod","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","39049","34","Franklin County","OH","52.1","685623","685613","62.0","646923","64","139191","85.3","97.6","713148","54.2","713121","64.5","668610","66.1","142267","87.2","Mod-High","High VC/Mod-High SVI","High VC/Mod-High SVI","High VC/Mod-High SVI","High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","45077","34","Pickens County","SC","36.6","46447","46388","41.6","44728","43.3","16417","77.3","93.7","53841","42.4","53743","48.2","51431","49.8","17988","84.7","Mod-High","Low-Mod VC/Mod-High SVI","Mod-High VC/Mod-High SVI","Mod-High VC/Mod-High SVI","High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","54031","34","Hardy County","WV","22.5","3094","3094","25.9","3012","27.5","1183","38.2","57.8","3555","25.8","3554","29.8","3410","31.1","1280","41.3","Low-Mod","Low VC/Low-Mod SVI","Low VC/Low-Mod SVI","Low VC/Low-Mod SVI","Low-Mod VC/Low-Mod SVI"
